coral_sample,site,id,date_collected,time,direction,distance_from_0_m,left_or_right_of_transect,distance_from_transect_cm,length_cm,width_cm,growth_morph_branch_plate_hybrid_ljrj_fd,notes_ljrj,growth_morph_branch_plate_hybrid_dc,color,health_at_collection_(dc),fluorescence_(y/n_-_color),notes,health_1_(dc_-_9/18-19),health_2_(dc_-_10/3-4),health_2_(cc/mrds-_10/3-4)
2_7_9,2_7,209,20170815,1350.0,West,7,Under,,55,40,Branch,,Hybrid,Orange,3.0,,,3.0,3.0,3.0
2_7_10,2_7,210,20170815,1350.0,West,8.2,Right,20,70,55,Branch,,Hybrid,Orange,2.0,,,2.0,2.0,3.0
2_7_11,2_7,211,20170815,1350.0,West,8.5,Left,15,45,30,Branch,,Branch,Brown,2.0,,,,3.0,3.0
2_7_12,2_7,212,20170815,1350.0,West,9.1,Under,,70,70,Branch,,Hybrid,Brown,2.0,,,3.0,3.0,3.0
2_7_13,2_7,213,20170815,1350.0,West,10.3,Left,20,80,80,Branch,,Branch,Orange,2.0,,,2.0,3.0,3.0
2_7_14,2_7,214,20170815,1350.0,South,1,Under,,100,40,Hybrid,,Branch,Orange,3.0,,,3.0,3.0,2.0
2_7_15,2_7,215,20170815,1350.0,South,1.5,Under,,65,40,Branch,,Hybrid,Brown,2.0,,,,3.0,
2_7_16,2_7,216,20170815,1350.0,South,2,Under,,85,60,Branch,,Hybrid,Orange,3.0,,,3.0,,
2_7_17,2_7,217,20170815,1350.0,South,2.6,Right,20,20,25,Branch,,Branch,Orange,3.0,,,3.0,3.0,
2_7_18,2_7,218,20170815,1350.0,South,3.4,Under,,80,30,Hybrid,,Hybrid,Orange,1.0,,,,2.0,
2_7_19,2_7,219,20170815,1350.0,South,4.3,Under,,55,30,Branch,,Branch,Orange,3.0,,,3.0,3.0,
2_7_20,2_7,220,20170815,1350.0,South,5.4,Under,,45,35,Branch,,Branch,Orange,1.0,,,,,
2_8_1,2_8,221,20170821,1030.0,West,1,Right,unclear writing,20,20,Branch,today bad paper so potential for mistakes,Branch,Orange,2.0,,,2.0,,2.0
2_8_2,2_8,222,20170821,1030.0,West,1.1,Left,unclear writing,15,10,Branch,,Branch,Orange,2.0,,,3.0,,2.0
2_8_3,2_8,223,20170821,1030.0,West,1.8,Left,50,25,15,Branch,,Branch,Orange,3.0,Y - yellow,,3.0,,2.0
2_8_4,2_8,224,20170821,1030.0,West,2.2,Left,40,15,10,Branch,,Branch,Orange,3.0,,,3.0,,
2_8_5,2_8,225,20170821,1030.0,West,4.3,Left,140,25,15,Branch,,Branch,Orange,1.0,,,1.0,,
2_8_6,2_8,226,20170821,1030.0,West,6.5,Left,170,65,50,Branch,,Branch,Brown,1.0,,,2.0,2.0,1.0
2_8_7,2_8,227,20170821,1030.0,West,6.9,Left,100,15,15,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
2_8_8,2_8,228,20170821,1030.0,West,5,Left,90,30,15,Branch,,Branch,Orange,2.0,Y - blue,Fluor. almost entire colony,,3.0,
2_8_9,2_8,229,20170821,1030.0,South,2,Right,140,30,20,Branch,,Branch,Brown,2.0,,,,3.0,2.0
2_8_10,2_8,230,20170821,1030.0,South,2.7,Right,200,25,15,Branch,,Branch,Brown,2.0,Y - yellow,,3.0,3.0,
2_8_11,2_8,231,20170821,1030.0,South,3.2,Right,200,25,20,Branch,,Branch,Orange,2.0,Y - blue,,,3.0,
2_8_12,2_8,232,20170821,1030.0,East,1.4,Left,200,25,15,Branch,,Branch,Orange,3.0,,,,,
2_8_13,2_8,233,20170821,1030.0,East,3.6,Under,,20,20,Branch,,Branch,Orange,3.0,,,,,
2_8_14,2_8,234,20170821,1030.0,East,4.2,Left,25,20,15,Branch,,Branch,Brown,3.0,,,,,
2_8_15,2_8,235,20170821,1030.0,East,9,Left,200,35,25,Branch,,Branch,Orange,3.0,,,,,
2_8_16,2_8,236,20170821,1030.0,East,10.3,Under,,35,25,Branch,,Branch,Brown,2.0,,,,,
2_8_17,2_8,237,20170821,1030.0,North,2.5,Right,110,20,20,Branch,,Branch,Brown,3.0,,,,,2.0
2_8_18,2_8,238,20170821,1030.0,North,3.8,Right,85,30,20,Branch,,Branch,Brown,2.0,,,,,3.0
2_8_19,2_8,239,20170821,1030.0,North,1.5,Left,140,45,15,Branch,,Branch,Brown,1.0,Y - yellow,,2.0,2.0,1.0
2_8_20,2_8,240,20170821,1030.0,nope,,,,,,,too deep,,,,,Not enough corals within depth,,,
3_2_1,3_2,241,20170821,1230.0,West,0.8,Under,,45,20,Hybrid,today bad paper so potential for mistakes,Plate,Orange,3.0,,,,,
3_2_2,3_2,242,20170821,1230.0,West,4,Right,135,25,20,Hybrid,under ledge,Hybrid,Orange,3.0,,,,3.0,
3_2_3,3_2,243,20170821,1230.0,West,3.8,Left,50,15,10,Branch,,Branch,Brown,3.0,,,,2.0,2.0
3_2_4,3_2,244,20170821,1230.0,West,4.5,Right,190,15,15,Plate,,Plate,Orange,3.0,,,,2.0,
3_2_5,3_2,245,20170821,1230.0,West,6,Left,165,15,15,Branch,,Branch,Orange,2.0,,,,,
3_2_6,3_2,246,20170821,1230.0,West,8,Left,160,35,15,Branch,,Branch,Orange,2.0,Y - yellow,,,,2.0
3_2_7,3_2,247,20170821,1230.0,West,8.5,Right,25,20,10,Branch,,Branch,Orange,3.0,,,,2.0,1.0
3_2_8,3_2,248,20170821,1230.0,West,9.7,Right,60,25,10,Hybrid,under ledge,Plate,Brown,3.0,,,,3.0,3.0
3_2_9,3_2,249,20170821,1230.0,South,6.4,Left,135,15,15,Branch,,Branch,Brown,2.0,Y - yellow,,,,2.0
3_2_10,3_2,250,20170821,1230.0,South,7.5,Left,30,25,15,Branch,,Branch,Brown,2.0,,,,,1.0
3_2_11,3_2,251,20170821,1230.0,South,8.4,Left,110,10,10,Branch,,Branch,Orange,2.0,,,2.0,,3.0
3_2_12,3_2,252,20170821,1230.0,South,9,Under,,15,10,Branch,,Branch,Orange,2.0,,,2.0,,2.0
3_2_13,3_2,253,20170821,1230.0,South,9.1,Right,65,15,10,Branch,,Branch,Orange,3.0,,,3.0,,3.0
3_2_14,3_2,254,20170821,1230.0,South,9.5,Right,40,15,10,Branch,,Hybrid,Orange,3.0,Y - blue,,2.0,,2.0
3_2_15,3_2,255,20170821,1230.0,South,9.5,Left,25,40,20,Branch,,Branch,Brown,3.0,Y - yellow,,2.0,,3.0
3_2_16,3_2,256,20170821,1230.0,South,10.4,Under,,20,20,Branch,,Branch,Orange,3.0,,,3.0,,3.0
3_2_17,3_2,257,20170821,1230.0,East,6.8,Left,130,20,20,Hybrid,under ledge,Plate,Brown,3.0,,,,,
3_2_18,3_2,258,20170821,1230.0,nope,,,,,,,too deep and zero Mc,,,,,Not enough corals in sample area to complete samples,,,
3_2_19,3_2,259,20170821,1230.0,nope,,,,,,,too deep and zero Mc,,,,,,,,
3_2_20,3_2,260,20170821,1230.0,nope,,,,,,,too deep and zero Mc,,,,,,,,
3_3_1,3_3,261,20170816,1330.0,West,6.8,Right,160,30,10,Hybrid,,Hybrid,Orange,2.0,,,3.0,3.0,3.0
3_3_2,3_3,262,20170816,1330.0,West,7.8,Right,55,20,15,Hybrid,,Hybrid,Brown,3.0,,,3.0,3.0,3.0
3_3_3,3_3,263,20170816,1330.0,South,4.8,Right,15,30,25,Branch,,Branch,Brown,2.0,,,2.0,2.0,2.0
3_3_4,3_3,264,20170816,1330.0,South,5.1,Left,30,40,30,Branch,,Branch,Orange,1.0,,"Branches very thin, resembled fire coral",2.0,2.0,2.0
3_3_5,3_3,265,20170816,1330.0,South,7.2,Right,160,40,15,Branch,,Hybrid,Brown,2.0,,,3.0,3.0,
3_3_6,3_3,266,20170816,1330.0,South,9.1,Right,140,70,35,Branch,,Branch,Brown,2.0,,,2.0,2.0,2.0
3_3_7,3_3,267,20170816,1330.0,South,9,Left,45,40,20,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
3_3_8,3_3,268,20170816,1330.0,South,9.4,Right,60,35,20,Branch,,Branch,Orange,2.0,,,2.0,2.0,2.0
3_3_9,3_3,269,20170816,1330.0,South,10.4,Left,45,40,25,Branch,,Branch,Brown,3.0,Y - yellow,,3.0,2.0,3.0
3_3_10,3_3,270,20170816,1330.0,East,10.3,Right,15,20,15,Branch,,Branch,Brown,2.0,,,,,
3_3_11,3_3,271,20170816,1330.0,East,10.2,Left,85,15,15,Hybrid,,Plate,Orange,3.0,,,3.0,,
3_3_12,3_3,272,20170816,1330.0,East,8.6,Under,,20,15,Hybrid,,Plate,Orange,3.0,,,3.0,,
3_3_13,3_3,273,20170816,1330.0,East,4.8,Right,120,20,10,Branch,,Branch,Orange,3.0,,,,,
3_3_14,3_3,274,20170816,1330.0,nope,,,,,,,,,,,,Not enough corals after four transects so decided to end call it,,,
3_3_15,3_3,275,20170816,1330.0,nope,,,,,,,,,,,,,,,
3_3_16,3_3,276,20170816,1330.0,nope,,,,,,,,,,,,,,,
3_3_17,3_3,277,20170816,1330.0,nope,,,,,,,,,,,,,,,
3_3_18,3_3,278,20170816,1330.0,nope,,,,,,,,,,,,,,,
3_3_19,3_3,279,20170816,1330.0,nope,,,,,,,,,,,,,,,
3_3_20,3_3,280,20170816,1330.0,nope,,,,,,,,,,,,,,,
3_4_1,3_4,281,20170814,1345.0,West,3.4,Right,1.2,30,20,half dead,,Branch,Orange,,,,,2.0,
3_4_2,3_4,282,20170814,1345.0,West,3.9,Left,10,30,10,half dead,,Branch,Orange,,,,,2.0,
3_4_3,3_4,283,20170814,1345.0,West,5.8,Under,,60,60,gold; half dead,,Branch,Orange,,,,3.0,3.0,3.0
3_4_4,3_4,284,20170814,1345.0,West,5.8,Right,100,40,20,half dead,,Branch,Orange,,,,2.0,2.0,1.0
3_4_5,3_4,285,20170814,1345.0,West,8.4,Right,55,,,half dead,,Branch,Orange,,,,,,3.0
3_4_6,3_4,286,20170814,1345.0,West,10,Right,40,80,20,,,Branch,Orange,,,,,,2.0
3_4_7,3_4,287,20170814,1345.0,South,1.2,Left,20,60,50,,,Branch,Orange,,,,,3.0,3.0
3_4_8,3_4,288,20170814,1345.0,South,2,Left,45,50,20,,,Branch,Orange,,,,,3.0,
3_4_9,3_4,289,20170814,1345.0,South,1.9,Left,160,70,30,,,Hybrid,Orange,,,,3.0,3.0,
3_4_10,3_4,290,20170814,1345.0,South,4.3,Left,110,60,10,half dead,,Branch,Orange,,,,1.0,1.5,1.0
3_4_11,3_4,291,20170814,1345.0,South,5.5,Under,,60,30,half dead,,Branch,Orange,,,,2.0,2.0,3.0
3_4_12,3_4,292,20170814,1345.0,South,6,Under,,30,20,about 20 cm from 291,,Branch,Orange,,,,3.0,3.0,3.0
3_4_13,3_4,293,20170814,1345.0,South,8,Under,,80,70,,,Branch,Orange,,,,2.0,2.0,2.0
3_4_14,3_4,294,20170814,1345.0,South,8.8,Right,65,70,20,,,Branch,Orange,,,,2.0,2.0,2.0
3_4_15,3_4,295,20170814,1345.0,South,10,Left,25,40,20,,,Branch,Orange,,,,1.0,1.0,1.0
3_4_16,3_4,296,20170814,1345.0,East,1.6,Under,,60,40,,,Branch,Orange,,,,3.0,2.0,3.0
3_4_17,3_4,297,20170814,1345.0,East,2.3,Under,,50,25,,,Branch,Orange,,,,3.0,3.0,3.0
3_4_18,3_4,298,20170814,1345.0,East,2.3,Right,60,60,40,,,Branch,Orange,,,,3.0,3.0,3.0
3_4_19,3_4,299,20170814,1345.0,East,3.5,Under,,30,20,,,Branch,Orange,,,,2.0,2.0,2.0
3_4_20,3_4,300,20170814,1345.0,East,4.7,Left,20,50,30,,,Branch,Orange,,,,3.0,3.0,3.0
3_5_1,3_5,301,20170815,945.0,West,1.5,Left,20,60,40,Branch,,Branch,Brown,2.0,,,2.0,2.0,1.0
3_5_2,3_5,302,20170815,945.0,West,2.3,Right,50,35,30,Branch,,Hybrid,Orange,3.0,,,3.0,3.0,3.0
3_5_3,3_5,303,20170815,945.0,West,3.1,Left,140,70,40,Branch,,Branch,Orange,2.0,,,,2.0,
3_5_4,3_5,304,20170815,945.0,West,6,Right,130,15,15,Branch,half dead,Branch,Orange,3.0,,,3.0,2.0,3.0
3_5_5,3_5,305,20170815,945.0,nope,No bag,No bag,No bag,No bag,No bag,No bag,,,,,,No sample bag so skipped this one,,,
3_5_6,3_5,306,20170815,945.0,West,6.6,Left,155,35,15,Branch,,Branch,Orange,3.0,,,,,
3_5_7,3_5,307,20170815,945.0,West,7.8,Right,35,30,15,Branch,,Branch,Orange,1.0,,,2.0,3.0,3.0
3_5_8,3_5,308,20170815,945.0,South,1,Under,,55,25,Branch,,Branch,Orange,2.0,,,2.0,2.0,3.0
3_5_9,3_5,309,20170815,945.0,South,1.6,Right,20,55,20,Branch,south transect is along reef edge,Hybrid,Brown,2.0,,,3.0,2.0,
3_5_10,3_5,310,20170815,945.0,South,1.9,Left,65,70,40,Branch,on reef edge,Hybrid,Brown,1.0,,,1.0,1.5,
3_5_11,3_5,311,20170815,945.0,South,2.6,Right,135,60,10,Branch,half dead,Branch,Orange,1.0,,,1.0,1.0,
3_5_12,3_5,312,20170815,945.0,South,3.2,Left,55,65,35,Hybrid,,Hybrid,Orange,2.0,,,2.0,2.0,2.0
3_5_13,3_5,313,20170815,945.0,South,4.1,Left,50,20,20,Branch,,Branch,Orange,3.0,,,3.0,3.0,
3_5_14,3_5,314,20170815,945.0,South,4.4,Right,25,15,15,Branch,,Branch,Brown,2.0,,,2.0,,2.0
3_5_15,3_5,315,20170815,945.0,South,4.7,Left,45,50,40,Branch,,Branch,Brown,3.0,,,3.0,3.0,3.0
3_5_16,3_5,316,20170815,945.0,South,5.4,Right,30,35,10,Branch,,Branch,Orange,3.0,,,2.0,,2.0
3_5_17,3_5,317,20170815,945.0,South,6.3,Left,80,30,20,Branch,,Branch,Brown,2.0,,,2.0,2.0,2.0
3_5_18,3_5,318,20170815,945.0,South,7.3,Right,140,55,10,Branch,,Branch,Orange,3.0,,,3.0,,3.0
3_5_19,3_5,319,20170815,945.0,South,8.6,Left,90,20,20,Hybrid,on reef edge,Hybrid,Orange,3.0,,,3.0,,
3_5_20,3_5,320,20170815,945.0,South,9,Right,25,20,15,Branch,,Branch,Brown,3.0,,,3.0,,2.0
3_6_1,3_6,321,20170816,1430.0,West,0.9,Right,10,20,15,Branch,,Branch,Brown,2.0,,,2.0,2.0,2.0
3_6_2,3_6,322,20170816,1430.0,West,1.3,Right,90,10,10,Branch,,Branch,Orange,2.0,,,3.0,3.0,
3_6_3,3_6,323,20170816,1430.0,West,1.8,Left,10,20,10,Branch,,Branch,Orange,2.0,,,3.0,3.0,
3_6_4,3_6,324,20170816,1430.0,West,2.7,Left,30,20,10,Branch,,Branch,Orange,3.0,,,,3.0,3.0
3_6_5,3_6,325,20170816,1430.0,West,3.3,Right,110,15,10,Branch,,Branch,Orange,3.0,,,3.0,3.0,
3_6_6,3_6,326,20170816,1430.0,West,3.5,Right,30,10,10,Branch,,Branch,Orange,3.0,,,3.0,3.0,2.0
3_6_7,3_6,327,20170816,1430.0,West,3.5,Left,60,15,10,Branch,,Branch,Orange,2.0,,,3.0,3.0,3.0
3_6_8,3_6,328,20170816,1430.0,West,4.1,Right,40,20,10,Hybrid,,Branch,Orange,3.0,,,3.0,,3.0
3_6_9,3_6,329,20170816,1430.0,West,5.6,Left,20,15,10,Branch,,Branch,Orange,2.0,,,2.0,,2.0
3_6_10,3_6,330,20170816,1430.0,West,5.8,Right,20,25,10,Branch,,Branch,Orange,3.0,,,3.0,,3.0
3_6_11,3_6,331,20170816,1430.0,West,7,Left,70,15,10,Branch,,Branch,Orange,2.0,,,,2.0,3.0
3_6_12,3_6,332,20170816,1430.0,West,7.8,Right,60,25,10,Branch,,Branch,Orange,2.0,,,,3.0,3.0
3_6_13,3_6,333,20170816,1430.0,West,9,Left,100,100,25,Hybrid,,Hybrid,Orange,3.0,,,,2.0,3.0
3_6_14,3_6,334,20170816,1430.0,West,9.2,Right,15,15,10,Branch,,Branch,Orange,2.0,,,,3.0,3.0
3_6_15,3_6,335,20170816,1430.0,South,0.9,Under,,20,10,Branch,,Branch,Brown,1.0,,,2.0,2.0,2.0
3_6_16,3_6,336,20170816,1430.0,South,1.9,Left,100,15,10,Branch,,Branch,Brown,3.0,,,3.0,3.0,
3_6_17,3_6,337,20170816,1430.0,South,3.2,Left,130,40,15,Branch,,Branch,Orange,3.0,,,3.0,3.0,
3_6_18,3_6,338,20170816,1430.0,South,3.7,Right,125,35,40,Branch,,Branch,Brown,2.0,,,,2.0,1.0
3_6_19,3_6,339,20170816,1430.0,South,4.6,Right,25,25,20,Branch,,Branch,Orange,2.0,,,,,2.0
3_6_20,3_6,340,20170816,1430.0,South,5.3,Under,,25,15,Branch,,Branch,Brown,3.0,,,,,
3_7_1,3_7,341,20170815,1100.0,East,4.6,Left,70,40,15,Branch,,Branch,Brown,2.0,,,2.0,2.0,
3_7_2,3_7,342,20170815,1100.0,East,4,Right,100,10,10,Branch,,Branch,Orange,2.0,,,3.0,3.0,
3_7_3,3_7,343,20170815,1100.0,East,5,Right,20,15,15,Branch,,Branch,Orange,2.0,,,,3.0,3.0
3_7_4,3_7,344,20170815,1100.0,East,5.8,Left,50,15,5,Branch,,Branch,Orange,2.0,,,,3.0,3.0
3_7_5,3_7,345,20170815,1100.0,East,7.1,Left,135,15,15,Branch,,Branch,Orange,2.0,,,3.0,3.0,
3_7_6,3_7,346,20170815,1100.0,East,7.5,Under,,10,10,Branch,,Branch,Orange,2.0,,,2.0,3.0,3.0
3_7_7,3_7,347,20170815,1100.0,East,7.7,Right,60,15,10,Branch,,Branch,Orange,2.0,,,2.0,2.0,2.0
3_7_8,3_7,348,20170815,1100.0,East,8.3,Right,35,15,10,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
3_7_9,3_7,349,20170815,1100.0,East,8.5,Left,30,15,10,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
3_7_10,3_7,350,20170815,1100.0,East,9.1,Right,35,20,15,Branch,,Branch,Orange,2.0,,,,3.0,3.0
3_7_11,3_7,351,20170815,1100.0,East,9.8,Right,30,30,25,Branch,,Branch,Orange,2.0,,,,3.0,3.0
3_7_12,3_7,352,20170815,1100.0,East,10.4,Left,35,30,25,Branch,,Branch,Orange,2.0,,,,3.0,
3_7_13,3_7,353,20170815,1100.0,North,0.7,Left,20,15,15,Plate,,Plate,Orange,3.0,,,,,
3_7_14,3_7,354,20170815,1100.0,North,1,Right,70,30,30,Hybrid,half dead,Hybrid,Orange,3.0,,,,,
3_7_15,3_7,355,20170815,1100.0,North,2.3,Right,100,30,15,Branch,,Branch,Orange,3.0,,,3.0,,3.0
3_7_16,3_7,356,20170815,1100.0,North,4.8,Right,50,35,25,Branch,,Branch,Orange,3.0,,,3.0,,3.0
3_7_17,3_7,357,20170815,1100.0,North,6.6,Right,35,30,25,Hybrid,,Branch,Brown,2.0,,,2.0,,2.0
3_7_18,3_7,358,20170815,1100.0,North,9,Right,150,25,15,Branch,,Branch,Orange,3.0,,,,,3.0
3_7_19,3_7,359,20170815,1100.0,North,9.9,Under,,60,30,Branch,half dead,Branch,Orange,3.0,,,,,
3_7_20,3_7,360,20170815,1100.0,North,9.9,Left,50,15,15,Branch,,Branch,Orange,3.0,,,,,
4_4_1,4_4,361,20170816,1200.0,West,0.6,Left,55,40,30,Branch,,Branch,Orange,3.0,,,3.0,3.0,
4_4_2,4_4,362,20170816,1200.0,West,1.3,Right,55,30,20,Branch,,Branch,Orange,2.0,,,,3.0,3.0
4_4_3,4_4,363,20170816,1200.0,West,1.8,Under,,20,20,Branch,,Branch,Orange,2.0,,,,3.0,3.0
4_4_4,4_4,364,20170816,1200.0,West,1.6,Left,110,40,35,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
4_4_5,4_4,365,20170816,1200.0,West,2.3,Left,70,85,30,Branch,,Branch,Brown,2.0,,,,,
4_4_6,4_4,366,20170816,1200.0,West,3.2,Right,110,>100,>100,Branch,patchy spread out,Branch,Orange,3.0,,,3.0,,3.0
4_4_7,4_4,367,20170816,1200.0,West,5.8,Under,,40,10,Branch,,Branch,Orange,3.0,,,3.0,,
4_4_8,4_4,368,20170816,1200.0,West,5.8,Right,70,70,40,Branch,,Branch,Orange,3.0,,,3.0,,
4_4_9,4_4,369,20170816,1200.0,West,6.6,Left,85,30,15,Branch,,Branch,Orange,2.0,,,2.0,,
4_4_10,4_4,370,20170816,1200.0,West,8.3,Right,70,65,50,Branch,,Branch,Orange,3.0,,,,,
4_4_11,4_4,371,20170816,1200.0,West,9.4,Under,,>100,>100,Branch,patchy half dead,Branch,Orange,2.0,,,,,
4_4_12,4_4,372,20170816,1200.0,South,2,Under,,>100,>100,Branch,,Branch,Orange,3.0,,,,,2.0
4_4_13,4_4,373,20170816,1200.0,South,2.8,Right,150,60,35,Branch,,Branch,Brown,2.0,,,2.0,,
4_4_14,4_4,374,20170816,1200.0,South,4.3,Under,,45,15,Branch,,Branch,Orange,3.0,,,,3.0,
4_4_15,4_4,375,20170816,1200.0,South,5.4,Left,30,50,40,Branch,,Hybrid,Brown,2.0,,,,2.0,
4_4_16,4_4,376,20170816,1200.0,South,5.8,Under,,55,55,Branch,,Branch,Orange,3.0,,,,3.0,
4_4_17,4_4,377,20170816,1200.0,South,6.6,Left,60,50,45,Branch,,Branch,Orange,3.0,,,,3.0,
4_4_18,4_4,378,20170816,1200.0,South,7,Right,50,40,40,Branch,,Branch,Orange,2.0,,,,2.0,
4_4_19,4_4,379,20170816,1200.0,South,8.5,Under,,>100,>100,Branch,,Branch,Orange,2.0,,,,2.0,
4_4_20,4_4,380,20170816,1200.0,South,9.6,Under,,45,30,Branch,,Branch,Orange,2.0,,,,,
4_5_1,4_5,381,20170821,1400.0,West,1.1,Left,115,15,15,Branch,today bad paper so potential for mistakes,Branch,Orange,3.0,,,3.0,,
4_5_2,4_5,382,20170821,1400.0,West,1.7,Right,120,15,10,Branch,,Branch,Orange,2.0,,,2.0,2.0,3.0
4_5_3,4_5,383,20170821,1400.0,West,2,Right,25,30,15,Branch,,Branch,Orange,2.0,,,2.0,2.0,3.0
4_5_4,4_5,384,20170821,1400.0,West,2.5,Left,130,20,20,Branch,,Branch,Orange,2.0,,,3.0,2.0,
4_5_5,4_5,385,20170821,1400.0,West,3.5,Left,200,15,10,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
4_5_6,4_5,386,20170821,1400.0,West,7,Right,45,70,30,Branch,,Branch,Orange,2.0,,,2.0,2.0,2.0
4_5_7,4_5,387,20170821,1400.0,West,7.7,Right,25,60,50,Branch,,Branch,Orange,2.0,,,2.0,3.0,3.0
4_5_8,4_5,388,20170821,1400.0,West,8.8,Under,,75,45,Branch,,Branch,Brown,2.0,,,2.0,2.0,2.0
4_5_9,4_5,389,20170821,1400.0,West,8.8,Left,80,45,45,Branch,,Branch,Orange,1.0,,,2.0,1.0,1.0
4_5_10,4_5,390,20170821,1400.0,West,9.2,Left,160,70,35,Branch,,Branch,Orange,2.0,Y - yellow,,2.0,2.0,2.0
4_5_11,4_5,391,20170821,1400.0,West,9.5,Under,,45,20,Branch,,Branch,Orange,2.0,,,,3.0,3.0
4_5_12,4_5,392,20170821,1400.0,West,9.5,Right,115,95,50,Branch,,Branch,Orange,2.0,,,2.0,3.0,
4_5_13,4_5,393,20170821,1400.0,South,1.4,Under,,25,15,Branch,,Branch,Orange,3.0,,,2.0,,3.0
4_5_14,4_5,394,20170821,1400.0,South,1.7,Right,20,20,15,Branch,,Branch,Orange,3.0,,,3.0,,3.0
4_5_15,4_5,395,20170821,1400.0,South,4.5,Right,125,15,15,Branch,,Branch,Orange,2.0,,,2.0,,
4_5_16,4_5,396,20170821,1400.0,South,5.3,Right,200,30,30,Branch,,Hybrid,Orange,2.0,,,2.0,,
4_5_17,4_5,397,20170821,1400.0,South,8,Right,70,30,20,Branch,,Branch,Orange,2.0,,,,,3.0
4_5_18,4_5,398,20170821,1400.0,South,7.7,Right,200,30,25,Branch,,Branch,Orange,2.0,,,,,1.0
4_5_19,4_5,399,20170821,1400.0,South,9.2,Left,200,55,20,Branch,,Branch,Orange,2.0,,,,,
4_5_20,4_5,400,20170821,1400.0,East,5,Right,175,20,10,Branch,on slope,Branch,Orange,3.0,,,,3.0,
4_6_1,4_6,401,20170822,1130.0,West,1.4,Right,45,60,60,Branch,half dead,Branch,Orange,3.0,,Lots of turf algae at this site (invasive too),,,
4_6_2,4_6,402,20170822,1130.0,West,2.7,Left,70,30,20,Hybrid,,Hybrid,Orange,3.0,,,3.0,3.0,
4_6_3,4_6,403,20170822,1130.0,West,3.2,Left,125,70,30,Branch,,Branch,Orange,3.0,,,3.0,3.0,
4_6_4,4_6,404,20170822,1130.0,West,3.7,Left,65,70,30,Branch,,Branch,Orange,3.0,,,2.0,3.0,
4_6_5,4_6,405,20170822,1130.0,West,3.9,Right,110,35,30,Branch,,Branch,Orange,3.0,,,3.0,3.0,2.0
4_6_6,4_6,406,20170822,1130.0,West,4.8,Left,85,50,30,Branch,,Branch,Orange,3.0,,,3.0,3.0,
4_6_7,4_6,407,20170822,1130.0,West,4.9,Right,110,35,25,Branch,,Branch,Orange,3.0,,,,3.0,
4_6_8,4_6,408,20170822,1130.0,West,5.7,Left,60,55,25,Hybrid,,Hybrid,Orange,2.0,,,3.0,,
4_6_9,4_6,409,20170822,1130.0,West,7.4,Left,160,90,20,Hybrid,,Hybrid,Orange,3.0,,,3.0,3.0,3.0
4_6_10,4_6,410,20170822,1130.0,West,7.7,Left,25,30,15,Branch,,Branch,Brown,2.0,,,2.0,2.0,
4_6_11,4_6,411,20170822,1130.0,West,8.7,Under,,25,15,Branch,,Branch,Orange,2.0,,,3.0,3.0,2.0
4_6_12,4_6,412,20170822,1130.0,West,9.4,Under,,30,30,Branch,,Branch,Orange,3.0,,,3.0,3.0,2.0
4_6_13,4_6,413,20170822,1130.0,West,10.2,Left,80,70,50,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
4_6_14,4_6,414,20170822,1130.0,South,0.7,Left,25,30,20,Branch,,Hybrid,Orange,2.0,,,,,3.0
4_6_15,4_6,415,20170822,1130.0,South,2.9,Under,,20,15,Branch,,Branch,Orange,3.0,,,,,2.0
4_6_16,4_6,416,20170822,1130.0,South,4.1,Left,90,75,60,Hybrid,,Hybrid,Orange,3.0,,,3.0,3.0,3.0
4_6_17,4_6,417,20170822,1130.0,South,4.5,Left,10,25,20,Branch,,Branch,Orange,3.0,,,,,
4_6_18,4_6,418,20170822,1130.0,South,3.4,Right,200,>100,>100,Branch,,Branch,Orange,3.0,,,3.0,3.0,2.0
4_6_19,4_6,419,20170822,1130.0,South,6,Right,50,60,30,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
4_6_20,4_6,420,20170822,1130.0,South,6.7,Right,20,45,45,Branch,,Branch,Orange,3.0,,,3.0,2.0,
4_8_1,4_8,421,20170815,1200.0,West,2.2,Right,60,150,30,Branch,,Branch,Orange,2.0,,,3.0,2.0,3.0
4_8_2,4_8,422,20170815,1200.0,West,3.5,Under,,70,50,Branch,,Branch,Orange,3.0,,,3.0,,
4_8_3,4_8,423,20170815,1200.0,West,4.2,Right,45,90,80,Branch,,Hybrid,Orange,3.0,,,3.0,3.0,
4_8_4,4_8,424,20170815,1200.0,West,4.6,Left,5,60,35,Branch,,Hybrid,Orange,2.0,,,,2.0,
4_8_5,4_8,425,20170815,1200.0,West,5.4,Under,,50,40,Branch,,Branch,Orange,3.0,,,,,
4_8_6,4_8,426,20170815,1200.0,West,6.3,Left,75,60,40,Branch,,Branch,Orange,3.0,,,,3.0,
