coral_sample,site,id,date_collected,time,direction,distance_from_0_m,left_or_right_of_transect,distance_from_transect_cm,length_cm,width_cm,growth_morph_branch_plate_hybrid_ljrj_fd,notes_ljrj,growth_morph_branch_plate_hybrid_dc,color,health_at_collection_(dc),fluorescence_(y/n_-_color),notes,health_1_(dc_-_9/18-19),health_2_(dc_-_10/3-4),health_2_(cc/mrds-_10/3-4)
1_4_18,1_4,58,20170828,1045.0,South,8,Right,90,60,40,Plate,,Plate,Brown,2.0,,,,,
1_4_19,1_4,59,20170828,1045.0,South,8.9,Right,20,35,30,Branch,,Branch,Brown,3.0,Y - yellow,,,,
1_4_20,1_4,60,20170828,1045.0,South,9.8,Under,,35,35,,,Branch,Orange,3.0,,,,,
1_6_1,1_6,61,20170816,1000.0,West,1.1,Left,90,45,35,Branch,,Branch,Orange,3.0,,,3.0,3.0,2.0
1_6_2,1_6,62,20170816,1000.0,West,1.6,Under,,25,10,Branch,,Branch,Orange,3.0,,,3.0,3.0,2.0
1_6_3,1_6,63,20170816,1000.0,West,2.1,Left,15,40,10,Branch,,Branch,Brown,2.0,,,3.0,3.0,2.0
1_6_4,1_6,64,20170816,1000.0,West,2.9,Left,20,35,15,Branch,,Hybrid,Orange,3.0,,,3.0,3.0,2.0
1_6_5,1_6,65,20170816,1000.0,West,3.1,Right,15,45,45,Branch,,Branch,Orange,3.0,Y - yellow,,3.0,3.0,2.0
1_6_6,1_6,66,20170816,1000.0,West,3.7,Right,100,30,15,Branch,,Branch,Orange,3.0,,,3.0,3.0,3.0
1_6_7,1_6,67,20170816,1000.0,West,4.1,Under,,30,20,Branch,,Branch,Orange,3.0,,,,2.0,2.0
1_6_8,1_6,68,20170816,1000.0,West,4.8,Under,,30,15,Branch,,Branch,Orange,3.0,,,3.0,3.0,2.0
1_6_9,1_6,69,20170816,1000.0,West,5,Right,100,25,15,Branch,,Branch,Orange,2.0,Y - blue,,3.0,2.0,2.0
1_6_10,1_6,70,20170816,1000.0,West,5.4,Right,50,25,20,Branch,,Branch,Brown,2.0,Y - yellow,,2.0,2.0,1.0
1_6_11,1_6,71,20170816,1000.0,West,5.8,Under,,25,10,Branch,,Branch,Brown,2.0,,,3.0,2.0,1.0
1_6_12,1_6,72,20170816,1000.0,West,6.5,Left,100,35,30,Branch,,Branch,Orange,3.0,,,3.0,3.0,2.0
1_6_13,1_6,73,20170816,1000.0,West,6.7,Under,,30,15,Branch,,Branch,Orange,3.0,,,3.0,3.0,2.0
1_6_14,1_6,74,20170816,1000.0,West,7,Left,45,15,15,Branch,,Branch,Brown,2.0,,,,2.0,2.0
1_6_15,1_6,75,20170816,1000.0,West,7.5,Under,,25,10,Branch,,Branch,Orange,2.0,Y - blue,,3.0,2.0,1.0
1_6_16,1_6,76,20170816,1000.0,West,8,Right,15,35,25,Branch,,Branch,Brown,2.0,,,2.0,2.0,1.0
1_6_17,1_6,77,20170816,1000.0,West,8.3,Left,20,30,10,Branch,,Branch,Orange,3.0,,,,3.0,3.0
1_6_18,1_6,78,20170816,1000.0,West,9.1,Under,,35,25,Branch,,Branch,Orange,3.0,Y - yellow,,,,3.0
1_6_19,1_6,79,20170816,1000.0,West,9.5,Under,,25,15,Branch,,Branch,Brown,2.0,Y - yellow,,,,3.0
1_6_20,1_6,80,20170816,1000.0,West,9.7,Right,70,35,10,Branch,,Branch,Brown,1.0,,,,,1.0
1_9_1,1_9,81,20170828,1200.0,West,0.8,Right,40,80,40,Branch,,Branch,Brown,3.0,,,3.0,3.0,
1_9_2,1_9,82,20170828,1200.0,West,2.5,Under,,80,50,Branch,,Branch,Orange,3.0,,,3.0,3.0,
1_9_3,1_9,83,20170828,1200.0,West,3.4,Right,80,90,30,Branch,,Branch,Orange,2.0,Y - blue,,2.0,2.0,
1_9_4,1_9,84,20170828,1200.0,West,5.1,Right,50,30,20,Branch,,Branch,Orange,2.0,,,,,
1_9_5,1_9,85,20170828,1200.0,West,6.1,Under,,50,40,Hybrid,,Hybrid,Orange,3.0,,,2.0,3.0,
1_9_6,1_9,86,20170828,1200.0,West,6.4,Left,70,60,40,Branch,,Branch,Orange,3.0,,,2.0,2.0,
1_9_7,1_9,87,20170828,1200.0,West,7.1,Under,,80,40,Branch,,Hybrid,Orange,3.0,,,3.0,3.0,
1_9_8,1_9,88,20170828,1200.0,West,7.5,Left,65,70,25,Branch,,Branch,Orange,3.0,,,3.0,3.0,
1_9_9,1_9,89,20170828,1200.0,West,7.9,Left,70,50,30,Branch,,Branch,Orange,3.0,,,2.0,,
1_9_10,1_9,90,20170828,1200.0,West,8.4,Left,100,60,40,Hybrid,,Hybrid,Orange,3.0,,,3.0,3.0,
1_9_11,1_9,91,20170828,1200.0,West,9.7,Left,20,90,70,Branch,,Hybrid,Orange,3.0,,,,,
1_9_12,1_9,92,20170828,1200.0,South,1.2,Left,30,50,50,Branch,,Branch,Orange,2.0,,,,2.0,
1_9_13,1_9,93,20170828,1200.0,South,4,Left,35,50,25,Branch,,Branch,Orange,3.0,,,,,
1_9_14,1_9,94,20170828,1200.0,South,5.5,Right,55,35,30,Hybrid,,Branch,Brown,2.0,,,,,
1_9_15,1_9,95,20170828,1200.0,South,6.2,Right,90,100,70,Branch,,Branch,Orange,2.0,bleached tips ,,,,
1_9_16,1_9,96,20170828,1200.0,South,6.9,Left,10,40,30,Branch,,Branch,Orange,3.0,,,,,
1_9_17,1_9,97,20170828,1200.0,South,6.5,Left,110,120,60,Hybrid,,Hybrid,Brown,2.0,,,,,
1_9_18,1_9,98,20170828,1200.0,South,8.6,Left,10,25,25,Branch,,Branch,Orange,3.0,,,,,
1_9_19,1_9,99,20170828,1200.0,South,9.3,Left,10,45,30,Hybrid,,Hybrid,Orange,3.0,,,,,
1_9_20,1_9,100,20170828,1200.0,South,9.2,Right,90,60,30,Branch,,Branch,Orange,3.0,,,,,
1_10_1,1_10,101,20170828,1230.0,West,0.9,Left,35,30,20,Branch,,Branch,Brown,3.0,,,3.0,3.0,
1_10_2,1_10,102,20170828,1230.0,West,3.2,Right,70,80,55,Branch,,Branch,Orange,2.0,large section paling/bleached,,,2.0,
1_10_3,1_10,103,20170828,1230.0,West,3.8,Left,30,35,30,Branch,,Branch,Orange,3.0,,,3.0,3.0,
1_10_4,1_10,104,20170828,1230.0,West,5,Under,,100,90,Plate,,Plate,Orange,2.0,,,2.0,3.0,
1_10_5,1_10,105,20170828,1230.0,West,6.1,Under,,65,45,Hybrid,,Hybrid,Orange,2.0,,,3.0,2.0,
1_10_6,1_10,106,20170828,1230.0,West,7,Left,50,70,30,Branch,,Branch,Orange,3.0,,,3.0,2.0,
1_10_7,1_10,107,20170828,1230.0,West,8.3,Right,70,50,30,Branch,,Branch,Orange,3.0,,,3.0,3.0,
1_10_8,1_10,108,20170828,1230.0,West,7.8,Right,260,70,60,Hybrid,,Hybrid,Brown,2.0,,,2.0,2.0,
1_10_9,1_10,109,20170828,1230.0,West,9.8,Left,70,70,40,Branch,,Branch,Orange,3.0,,,,,
1_10_10,1_10,110,20170828,1230.0,South,1.2,Under,,130,80,Plate,,Hybrid,Orange,2.0,,,2.0,2.0,
1_10_11,1_10,111,20170828,1230.0,South,2,Under,,70,30,Branch,,Branch,Brown,2.0,,,2.0,2.0,
