sample	CLUSTER	site	sites
515	302	5_2	1
94	303	1_9	1
262	304	3_3	1
312	305	3_5	1
307	306	3_5	1
384	307	4_5	1
511	308	5_2	1
512	308	5_2	1
63	309	1_6	1
170	310	2_3	1
458	311	4_11	1
479	312	4_14	1
497	315	5_1	1
531	316	5_3	1
542	317	5_6	1
545	317	5_6	1
485	318	5_1	1
504	319	5_2	1
433	320	4_8	1
434	320	4_8	1
519	321	5_2	1
587	322	5_8	1
370	323	4_4	1
583	324	5_8	1
392	325	4_5	1
495	326	5_1	1
510	327	5_2	1
405	328	4_6	1
406	329	4_6	1
411	329	4_6	1
412	329	4_6	1
490	330	5_1	1
500	331	5_1	1
356	332	3_7	1
414	333	4_6	1
371	334	4_4	1
591	335	5_8	1
592	335	5_8	1
481	336	5_1	1
403	337	4_6	1
410	338	4_6	1
430	339	4_8	1
431	340	4_8	1
385	341	4_5	1
581	342	5_8	1
594	342	5_8	1
595	342	5_8	1
424	343	4_8	1
476	344	4_14	1
441	345	4_11	1
466	346	4_14	1
582	347	5_8	1
599	347	5_8	1
204	348	2_7	1
491	349	5_1	1
416	350	4_6	1
568	351	5_7	1
543	352	5_6	1
544	352	5_6	1
546	352	5_6	1
549	352	5_6	1
550	352	5_6	1
554	352	5_6	1
557	352	5_6	1
559	352	5_6	1
553	353	5_6	1
576	354	5_7	1
562	355	5_7	1
570	355	5_7	1
573	355	5_7	1
574	355	5_7	1
575	355	5_7	1
290	356	3_4	1
449	357	4_11	1
539	358	5_3	1
210	359	2_7	1
203	360	2_7	1
417	361	4_6	1
137	362	2_1	1
294	363	3_4	1
489	364	5_1	1
444	365	4_11	1
465	366	4_14	1
66	367	1_6	1
237	368	2_8	1
297	369	3_4	1
229	370	2_8	1
330	371	3_6	1
220	372	2_7	1
321	373	3_6	1
393	374	4_5	1
499	375	5_1	1
3	376	1_2	1
194	377	2_4	1
236	378	2_8	1
494	379	5_1	1
339	380	3_6	1
569	381	5_7	1
563	382	5_7	1
565	382	5_7	1
567	382	5_7	1
246	383	3_2	1
518	384	5_2	1
521	385	5_3	1
534	386	5_3	1
522	387	5_3	1
532	388	5_3	1
537	388	5_3	1
104	389	1_10	1
520	390	5_2	1
209	391	2_7	1
20	392	1_2	1
61	393	1_6	1
37	394	1_3	1
166	395	2_3	1
96	396	1_9	1
40	397	1_3	1
540	398	5_3	1
332	399	3_6	1
234	400	2_8	1
263	401	3_3	1
190	402	2_4	1
358	403	3_7	1
517	404	5_2	1
46	405	1_4	1
213	406	2_7	1
271	407	3_3	1
19	408	1_2	1
362	409	4_4	1
366	409	4_4	1
18	410	1_2	1
316	411	3_5	1
436	412	4_8	1
187	413	2_4	1
126	414	2_1	1
245	415	3_2	1
354	416	3_7	1
142	417	2_2	1
395	418	4_5	1
334	419	3_6	1
432	420	4_8	1
328	421	3_6	1
502	422	5_2	1
125	423	2_1	2
127	423	2_1	2
185	423	2_4	2
98	424	1_9	1
413	425	4_6	1
311	426	3_5	1
382	427	4_5	1
383	428	4_5	1
347	429	3_7	1
174	430	2_3	1
270	431	3_3	1
230	432	2_8	1
288	433	3_4	1
106	434	1_10	1
446	435	4_11	1
597	436	5_8	1
462	437	4_14	1
226	438	2_8	1
455	439	4_11	1
224	440	2_8	1
593	441	5_8	1
216	442	2_7	1
350	443	3_7	1
535	444	5_3	1
523	445	5_3	1
527	445	5_3	1
526	446	5_3	1
525	447	5_3	1
530	447	5_3	1
533	447	5_3	1
139	448	2_1	1
140	448	2_1	1
143	449	2_2	1
151	449	2_2	1
153	449	2_2	1
157	449	2_2	1
158	449	2_2	1
324	450	3_6	1
256	451	3_2	1
162	452	2_3	1
243	453	3_2	1
92	454	1_9	1
45	455	1_4	1
89	456	1_9	1
85	457	1_9	1
87	457	1_9	1
50	458	1_4	1
461	459	4_14	1
81	460	1_9	1
101	461	1_10	1
108	462	1_10	1
119	463	1_10	1
176	464	2_3	1
308	465	3_5	1
323	466	3_6	1
463	467	4_14	1
79	468	1_6	1
227	469	2_8	1
38	470	1_3	1
88	471	1_9	1
286	472	3_4	1
254	473	3_2	1
47	474	1_4	1
201	475	2_7	1
295	476	3_4	1
363	477	4_4	1
365	477	4_4	1
468	478	4_14	1
538	479	5_3	1
14	480	1_2	1
310	481	3_5	1
165	482	2_3	1
337	483	3_6	1
123	484	2_1	1
130	485	2_1	1
524	487	5_3	1
548	488	5_6	1
493	489	5_1	1
469	490	4_14	1
578	491	5_7	1
222	492	2_8	1
421	493	4_8	1
212	494	2_7	1
487	495	5_1	1
320	496	3_5	1
572	497	5_7	1
506	498	5_2	1
513	499	5_2	1
514	500	5_2	1
588	501	5_8	1
159	502	2_2	1
6	504	1_2	1
380	505	4_4	1
429	506	4_8	1
498	507	5_1	1
99	508	1_9	1
285	509	3_4	1
585	510	5_8	1
369	511	4_4	1
492	512	5_1	1
372	513	4_4	1
477	514	4_14	1
579	515	5_7	1
49	516	1_4	1
333	517	3_6	1
541	518	5_6	1
440	519	4_8	1
454	520	4_11	1
90	521	1_9	1
2	522	1_2	1
367	523	4_4	1
551	524	5_6	1
191	525	2_4	1
273	526	3_3	1
116	527	1_10	1
368	528	4_4	1
364	529	4_4	1
376	529	4_4	1
360	530	3_7	1
144	531	2_2	1
155	531	2_2	1
156	531	2_2	1
