Sample	Site	Direction	Left_or_Right_of_transect	DC_distance_fr_0_m	DT_distance_fr_transect_m	X	Y
49	1_4	West	Right	8.3	1.3	1.3	8.3
50	1_4	West	Left	9.3	0.4	-0.4	9.3
51	1_4	South	Under	1.5	0	-1.5	0
52	1_4	South	Left	1.4	0.4	-1.4	-0.4
53	1_4	South	Under	2.5	0	-2.5	0
54	1_4	South	Right	3.5	0.15	-3.5	0.15
55	1_4	South	Left	4.6	1.1	-4.6	-1.1
56	1_4	South	Right	5.9	1.4	-5.9	1.4
57	1_4	South	Under	7.1	0	-7.1	0
59	1_4	South	Right	8.9	0.2	-8.9	0.2
60	1_4	South	Under	9.8	0	-9.8	0
61	1_6	West	Left	1.1	0.9	-0.9	1.1
62	1_6	West	Under	1.6	0	0	1.6
63	1_6	West	Left	2.1	0.15	-0.15	2.1
64	1_6	West	Left	2.9	0.2	-0.2	2.9
65	1_6	West	Right	3.1	0.15	0.15	3.1
66	1_6	West	Right	3.7	1	1	3.7
67	1_6	West	Under	4.1	0	0	4.1
68	1_6	West	Under	4.8	0	0	4.8
69	1_6	West	Right	5	1	1	5
70	1_6	West	Right	5.4	0.5	0.5	5.4
71	1_6	West	Under	5.8	0	0	5.8
72	1_6	West	Left	6.5	1	-1	6.5
73	1_6	West	Under	6.7	0	0	6.7
74	1_6	West	Left	7	0.45	-0.45	7
75	1_6	West	Under	7.5	0	0	7.5
76	1_6	West	Right	8	0.15	0.15	8
77	1_6	West	Left	8.3	0.2	-0.2	8.3
78	1_6	West	Under	9.1	0	0	9.1
79	1_6	West	Under	9.5	0	0	9.5
80	1_6	West	Right	9.7	0.7	0.7	9.7
81	1_9	West	Right	0.8	0.4	0.4	0.8
83	1_9	West	Right	3.4	0.8	0.8	3.4
84	1_9	West	Right	5.1	0.5	0.5	5.1
85	1_9	West	Under	6.1	0	0	6.1
86	1_9	West	Left	6.4	0.7	-0.7	6.4
87	1_9	West	Under	7.1	0	0	7.1
88	1_9	West	Left	7.5	0.65	-0.65	7.5
89	1_9	West	Left	7.9	0.7	-0.7	7.9
90	1_9	West	Left	8.4	1	-1	8.4
91	1_9	West	Left	9.7	0.2	-0.2	9.7
92	1_9	South	Left	1.2	0.3	-1.2	-0.3
93	1_9	South	Left	4	0.35	-4	-0.35
94	1_9	South	Right	5.5	0.55	-5.5	0.55
95	1_9	South	Right	6.2	0.9	-6.2	0.9
96	1_9	South	Left	6.9	0.1	-6.9	-0.1
97	1_9	South	Left	6.5	1.1	-6.5	-1.1
98	1_9	South	Left	8.6	0.1	-8.6	-0.1
99	1_9	South	Left	9.3	0.1	-9.3	-0.1
100	1_9	South	Right	9.2	0.9	-9.2	0.9
101	1_10	West	Left	0.9	0.35	-0.35	0.9
102	1_10	West	Right	3.2	0.7	0.7	3.2
103	1_10	West	Left	3.8	0.3	-0.3	3.8
104	1_10	West	Under	5	0	0	5
105	1_10	West	Under	6.1	0	0	6.1
106	1_10	West	Left	7	0.5	-0.5	7
107	1_10	West	Right	8.3	0.7	0.7	8.3
108	1_10	West	Right	7.8	2.6	2.6	7.8
109	1_10	West	Left	9.8	0.7	-0.7	9.8
110	1_10	South	Under	1.2	0	-1.2	0
112	1_10	South	Right	4.8	0.4	-4.8	0.4
113	1_10	South	Under	3.1	0	-3.1	0
114	1_10	South	Under	4.2	0	-4.2	0
115	1_10	South	Right	5.4	0.15	-5.4	0.15
