Sample	Site	Direction	Left_or_Right_of_transect	DC_distance_fr_0_m	DT_distance_fr_transect_m	X	Y
558	5_6	West	Left	9.7	0.2	-0.2	9.7
559	5_6	West	Left	10.3	0.1	-0.1	10.3
560	5_6	West	Right	11	0.1	0.1	11
561	5_7	West	Left	0	0.9	-0.9	0
562	5_7	West	Left	0.4	1.25	-1.25	0.4
563	5_7	West	Right	0.5	1.2	1.2	0.5
564	5_7	West	Right	0.8	0.5	0.5	0.8
565	5_7	West	Under	0.7	0	0	0.7
566	5_7	West	Left	1.3	0.75	-0.75	1.3
567	5_7	West	Right	1.9	1.2	1.2	1.9
568	5_7	West	Right	3.5	0.8	0.8	3.5
569	5_7	West	Left	3.4	1	-1	3.4
570	5_7	West	Right	4.1	0.2	0.2	4.1
571	5_7	West	Left	4.9	0.6	-0.6	4.9
572	5_7	West	Left	5.5	0.8	-0.8	5.5
573	5_7	South	Under	1.3	0	-1.3	0
574	5_7	South	Under	2.2	0	-2.2	0
575	5_7	South	Right	2.3	0.8	-2.3	0.8
576	5_7	South	Under	3.8	0	-3.8	0
577	5_7	South	Right	5.6	0.2	-5.6	0.2
578	5_7	South	Left	6.4	1.5	-6.4	-1.5
579	5_7	South	Left	7.8	0.1	-7.8	-0.1
580	5_7	South	Under	9	0	-9	0
581	5_8	West	Left	0.1	0.8	-0.8	0.1
582	5_8	West	Left	0.3	0.9	-0.9	0.3
583	5_8	West	Left	0.9	0.4	-0.4	0.9
584	5_8	West	Left	1.7	0.9	-0.9	1.7
585	5_8	West	Under	1.1	0	0	1.1
587	5_8	West	Right	1.8	0.2	0.2	1.8
588	5_8	West	Right	2.3	0.6	0.6	2.3
589	5_8	West	Left	2.4	0.3	-0.3	2.4
590	5_8	West	Left	3.3	0.3	-0.3	3.3
591	5_8	West	Under	3.8	0	0	3.8
592	5_8	West	Right	3.8	0.3	0.3	3.8
593	5_8	West	Under	4.3	0	0	4.3
594	5_8	West	Left	5.4	0.15	-0.15	5.4
595	5_8	West	Right	5.7	0.5	0.5	5.7
596	5_8	West	Left	6.1	0.25	-0.25	6.1
597	5_8	West	Left	7.8	0.65	-0.65	7.8
598	5_8	West	Right	8.5	0.25	0.25	8.5
599	5_8	West	Right	9.8	0.7	0.7	9.8
600	5_8	West	Under	10.2	0	0	10.2
146a1	2_2	West	Right	5.8	0.5	0.5	5.8
146a2	2_2	West	Right	5.8	0.5	0.5	5.8
146a3	2_2	West	Right	5.8	0.5	0.5	5.8
146b1	2_2	West	Right	5.8	0.5	0.5	5.8
146b2	2_2	West	Right	5.8	0.5	0.5	5.8
146b3	2_2	West	Right	5.8	0.5	0.5	5.8
149B	2_2	West	Under	9.8	0	0	9.8
234a1	2_8	East	Left	4.2	0.25	0.25	-4.2
234a2	2_8	East	Left	4.2	0.25	0.25	-4.2
234a3	2_8	East	Left	4.2	0.25	0.25	-4.2
234b1	2_8	East	Left	4.2	0.25	0.25	-4.2
234b2	2_8	East	Left	4.2	0.25	0.25	-4.2
234b3	2_8	East	Left	4.2	0.25	0.25	-4.2
254a1	3_2	South	Right	9.5	0.4	-9.5	0.4
254a2	3_2	South	Right	9.5	0.4	-9.5	0.4
254a3	3_2	South	Right	9.5	0.4	-9.5	0.4
254b1	3_2	South	Right	9.5	0.4	-9.5	0.4
254b2	3_2	South	Right	9.5	0.4	-9.5	0.4
254b3	3_2	South	Right	9.5	0.4	-9.5	0.4
347a1	3_7	East	Right	7.7	0.6	-0.6	-7.7
347a2	3_7	East	Right	7.7	0.6	-0.6	-7.7
347a3	3_7	East	Right	7.7	0.6	-0.6	-7.7
347b1	3_7	East	Right	7.7	0.6	-0.6	-7.7
347b2	3_7	East	Right	7.7	0.6	-0.6	-7.7
347b3	3_7	East	Right	7.7	0.6	-0.6	-7.7
397a1	4_5	South	Right	8	0.7	-8	0.7
397a2	4_5	South	Right	8	0.7	-8	0.7
397a3	4_5	South	Right	8	0.7	-8	0.7
397b1	4_5	South	Right	8	0.7	-8	0.7
397b2	4_5	South	Right	8	0.7	-8	0.7
397b3	4_5	South	Right	8	0.7	-8	0.7
447B	4_11	West	Left	8.9	0.5	-0.5	8.9
466B	4_14	West	Right	6.1	0.25	0.25	6.1
476a1	4_14	East	Left	2.4	0.45	0.45	-2.4
476a2	4_14	East	Left	2.4	0.45	0.45	-2.4
476a3	4_14	East	Left	2.4	0.45	0.45	-2.4
476b2	4_14	East	Left	2.4	0.45	0.45	-2.4
476b3	4_14	East	Left	2.4	0.45	0.45	-2.4
479B	4_14	East	Right	7.2	0.2	-0.2	-7.2
47B	1_4	West	Right	6.5	1	1	6.5
480B	4_14	East	Under	8.6	0	0	-8.6
497a1	5_1	East	Left	2.4	0.1	0.1	-2.4
497a2	5_1	East	Left	2.4	0.1	0.1	-2.4
497a3	5_1	East	Left	2.4	0.1	0.1	-2.4
497b1	5_1	East	Left	2.4	0.1	0.1	-2.4
497b2	5_1	East	Left	2.4	0.1	0.1	-2.4
497b3	5_1	East	Left	2.4	0.1	0.1	-2.4
576b1	4_14	East	Left	2.4	0.45	0.45	-2.4
58B	1_4	South	Right	8	0.9	-8	0.9
596a1	5_8	West	Left	6.1	0.25	-0.25	6.1
596a2	5_8	West	Left	6.1	0.25	-0.25	6.1
596a3	5_8	West	Left	6.1	0.25	-0.25	6.1
596b1	5_8	West	Left	6.1	0.25	-0.25	6.1
596b2	5_8	West	Left	6.1	0.25	-0.25	6.1
596b3	5_8	West	Left	6.1	0.25	-0.25	6.1
6a1	1_2	South	Left	10.3	0.7	-10.3	-0.7
6a2	1_2	South	Left	10.3	0.7	-10.3	-0.7
6a3	1_2	South	Left	10.3	0.7	-10.3	-0.7
6b1	1_2	South	Left	10.3	0.7	-10.3	-0.7
6b2	1_2	South	Left	10.3	0.7	-10.3	-0.7
90a1	1_9	West	Left	8.4	1	-1	8.4
90a2	1_9	West	Left	8.4	1	-1	8.4
90a3	1_9	West	Left	8.4	1	-1	8.4
90b1	1_9	West	Left	8.4	1	-1	8.4
90b2	1_9	West	Left	8.4	1	-1	8.4
90b3	1_9	West	Left	8.4	1	-1	8.4
